VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
ELGSPMAGI,ELIG PRGM INCL STATE POSSIBLE CHILD COVERAGE EXPANSIONS: ACA MAGI,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
FORGO,HAD TO FORGO NECESSARY CARE,,,X,,X,X,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
IA10A,TEEN HAS SAME INSURANCE AS ADULT R,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,,,,,,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;,
IA18,MAIN REASON TEEN HAS NO HEALTH INS,,RSN_UNI2; RSN_UNIN,X,,X,X,,,,,,,,,,,,,,,,,,,,,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;,
IA29,MAIN REASON TEEN HAD NO HEALTH INS,,RSN_UNI2; RSN_UNIN,,,,,,,,,,,,,,,,,,,,,,,,,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;,
IA7,TEEN COVERED BY OTHER GOV'T HEALTH PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHS,COVERED BY INDIAN HEALTH SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS,CURRENTLY INSURED,,INSTYPE; INS9TP; RSN_UNIN,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
INS12M,MOS COVERED BY HEALTH PLANS LAST 12 MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS64,TYPE OF CURRENT HEALTH COVERAGE SOURCE - UNDER 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSANY,ANY INS IN LAST 12 MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSEM,COVERED BY EMPLOYER-BASED PLANS,,OFFTK; INSTYPE; INS9TP,,,,,,,,,,,,,,,,,,,,,,,,,SEE F_INS_EM FOR IMPUTATION FLAG,
INSMD,COVERED BY MEDI-CAL,,INSTYPE; INS9TP; PAR_ELIG; PAR_MAGI,,,,X,,,,,,,,,,,,,,,,,,,,,SEE F_INS_MD FOR IMPUTATION FLAG,
INSML,COVERED BY MILITARY HEALTH PLANS,,INSTYPE; INS9TP,,,,,,,,,,,,,,,,,,,,,,,,,UPDATED RECODING METHOD USED IN 2009.,
INSOG,COVERED BY OTHER GOVT PLANS,,INSTYPE; INS9TP,,,,,,,,,,,,,,,,,,,,,,,,,,
INSOT,COVERED BY OTHER NON-GOVT PLANS,,INSTYPE; INS9TP,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPR,COVERED BY PLANS PURCHASED ON OWN,,INSTYPE; INS9TP,,,,,,,,,,,,,,,,,,,,,,,,,,
INST_12,"HEALTH INS COVERAGE IN LAST 12 MOS, INCL CURRENT STATUS:8 LVLS",,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
INSTYPE,INSURANCE TYPE,,,,,,X,,,,,,,,,,,,,,,,,,,,N/A,,
OFFTK_S,"OFFER, ELIGIBILITY, ACCEPTANCE OF EMPLOYER BASED INS",,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
OFFTK,"OFFER, ELIGIBILITY, ACCEPTANCE OF EMPLOYER BASED INS",,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
INS9TP,TYPE OF CURRENT HEALTH COVERAGE SOURCE FOR ALL AGES (9 LVLS),,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MA7,NAME OF HEALTH PLAN,,HMO,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;  ; NAME OF HEALTH PLAN FOR SPOUSE NOT COLLECTED,
IA14,COVERED FOR PRESCRIPTIONS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;,
MA7_UPCODED,NAME OF HEALTH PLAN,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.,
HMO,HMO STATUS,,,,,,,,,,,,,,N/A,,,,,,,,,,,N/A,N/A,,
MA8,MAIN HEALTH PLAN IS HMO,,HMO,,,,,,,,,,,,,,,,,,,,,,,,N/A,PROXY RESPONDENTS NOT INCLUDED IN THIS QUESTION.;,
PAR_ELIG,PARTICIPATION IN MEDI-CAL PROGRAM,,,,,,,,,,,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
PAR_MAGI,PARTICIPATION IN MEDI-CAL PROGRAM: ACA MAGI GUIDELINES,,,,,,,N/A,,N/A,,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CONSTRUCTED FROM REVISED MEDI-CAL ELIGIBILITY CRITERIA BASED ON MODIFIED ADJUSTED GROSS INCOME, EFFECTIVE JAN.2014; CAUTION TRENDING W/ 2013 AND PRIOR MEDI-CAL ELIGIBILITY; CONSTRUCTED FROM REVISED MEDI-CAL

ELIGIBILITY CRITERIA BASED ON MODIFIED

ADJUSTED GROSS INCOME, EFFECTIVE

JAN.2014; CAUTION TRENDING W/ 2013 AND

PRIOR MEDI-CAL ELIGIBILITY",
RN_FORGOV2,REASONS FORGONE NECESSARY CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: RN_FORGO. MODIFICATION TO CONSTRUCTION BEGINNING IN 2023 DUE TO CHANGES TO INPUT VARIABLES ASKED. USE CAUTION WHEN COMPARING WITH PRIOR YEARS.,
RSN_UNI2,REASON FOR UNINSURED STATUS PAST 12 MOS,,,,,,X,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,
RSN_UNIN,REASON FOR CURRENTLY UNINSURED STATUS,,,,,,X,,,,,,,,,,,,,,,,,,,,N/A,,
TF1V2,HAS USUAL SOURCE OF HEALTH CARE,,USOC; USUAL; USUAL5TP,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"USE CAUTION WHEN TRENDING WITH TF1V2 FROM PRIOR YEARS. REMOVAL OF TRANSITION STATEMENT TO INCREASE DATA COMPLETENESS HAD AN UNINTENDED CONSEQUENCE OF A NOTABLE DECREASE IN ""YES"" RESPONSES TO TF1V2 (SEE CHIS 2022 EXPERIMENT).; USE CAUTION WHEN TRENDING WITH TF1 FROM PREVIOUS YEARS; SOME RESPONSE CATEGORIES NOT OFFERED IN WEB INSTRUMENT IN 2019; USE CAUTION WHEN TRENDING WITH TF1 FROM
PREVIOUS YEARS; SOME RESPONSE
CATEGORIES NOT OFFERED IN WEB
INSTRUMENT IN 2019",
TF2,KIND OF PLACE MOST OFTEN GO FOR HEALTH CARE,,USUAL5TP,X,X,,X,,,,,,,,,,,,,,,,,,,,,,
TF3,VISITED EMERGENCY ROOM FOR OWN HEALTH IN PAST 12 MOS,,ER,X,X,,X,,,,,,,,,,,,,,,,,,,,,NOT TRENDABLE WITH 2001 TF3,
TF16,# OF TIMES VISITED MEDICAL DOCTOR IN PAST 12 MOS,TF16_P1,ACMDNUM; DOCT_YR,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
ER,ER VISIT WITHIN THE PAST YEAR,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,
TF5,LAST TIME SAW A DOCTOR FOR ROUTINE PHYSICAL EXAM OR CHECK-UP,TF5_P1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCT_YR,VISITED A DOCTOR DURING PAST 12 MOS,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
ACMDNUM,# OF DOCTOR VISITS PAST YEAR,ACMDMT_P1,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
TI14,HAVE PERSONAL DR WHO IS MAIN PROVIDER,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,Not trendable with TI14 2009;  Not trendable with TI14 2011-12 and later,
TH46V2,ABLE TO GET DR APPNT IN 2 DAYS IF NEEDED,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TH46 UNIVERSE CHANGE IN 2021.,
TH49V2,ATTEMPTED TO GET DR APPT IN 2 DAYS IN PAST 12 MOS,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TH49. UNIVERSE CHANGE IN 2021.,
TI18,DELAY GETTING PRESCRIPTION IN PAST 12 MO,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TH61,EVENTUALLY REC'D PRESCRIBED MEDICINE THAT WAS DELAYED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_1,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: MED NOT IN STOCK,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_2,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: INS APPROVAL ISSUE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_3,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: COMMUNICATION DELAYS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_4,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: SIDE EFFECTS CONCERNS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_5,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: DIDN'T WANT/NEED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_6,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: TOO HARD TO TRACK MEDS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_7,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: FORGOT/LOST PRESCRIP,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_8,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: DIDN'T HAVE TIME,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_9,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: NO INSURANCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_10,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: TOO EXPENSIVE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH62_91,REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE: OTHER REASON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH63,MAIN REASON DELAYED/DIDN'T GET PRESCRIBED MEDICINE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAIN_DELAYMED,MAIN REASON DELAYED OR DID NOT GET MEDICINE PRESCRIBED BY DOCTOR,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TF9,DELAYED/DID NOT GET MEDICAL CARE FELT NEEDED IN PAST 12 MOS,,FORGO,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TH57,EVENTUALLY RECEIVED MED CARE THAT WAS DELAYED,,FORGO,X,,X,X,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_1,REASON DELAYED/DIDN'T GET NEEDED CARE: COULDN'T GET APPT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_2,REASON DELAYED/DIDN'T GET NEEDED CARE: INSURANCE NOT ACCEPTED,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_3,REASON DELAYED/DIDN'T GET NEEDED CARE: INSURANCE DIDN'T COVER,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_4,REASON DELAYED/DIDN'T GET NEEDED CARE: LANGUAGE PROBLEM,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_5,REASON DELAYED/DIDN'T GET NEEDED CARE: TRANSPORTATION PROBLEM,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_6,REASON DELAYED/DIDN'T GET NEEDED CARE: HOURS NOT CONVENIENT,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_7,REASON DELAYED/DIDN'T GET NEEDED CARE: NO CHILD CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_8,REASON DELAYED/DIDN'T GET NEEDED CARE: FORGOT/LOST REFERRAL,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_9,REASON DELAYED/DIDN'T GET NEEDED CARE: DIDN'T HAVE TIME,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_10,REASON DELAYED/DIDN'T GET NEEDED CARE: TOO EXPENSIVE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_11,REASON DELAYED/DIDN'T GET NEEDED CARE: NO INSURANCE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH60_91,REASON DELAYED/DIDN'T GET NEEDED CARE: OTHER REASON,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAIN_DELAYCARE,MAIN REASON DELAYED OR DID NOT GET MEDICAL CARE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CV CREATED IN CHIS 2023.,
TH59V2,MAIN REASON FOR DELAYING NEEDED CARE,,RN_FORGO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TH59. NEW VERSION DUE TO NEW UNIVERSE IN 2023.,
UNINSANY,UNINSURED IN PAST 12 MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USOC,USUAL SOURCE OF CARE OTHER THAN ER,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
USUAL,HAVE USUAL PLACE TO GO TO WHEN SICK OR NEEDING HEALTH ADVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,"USE CAUTION WHEN TRENDING WITH PRIOR YEARS. REMOVAL OF TRANSITION STATEMENT TO INCREASE DATA COMPLETENESS HAD AN UNINTENDED CONSEQUENCE OF A NOTABLE DECREASE IN ""YES"" RESPONSES TO TF1V2 (SEE CHIS 2022 EXPERIMENT).;",
USUAL5TP,USUAL SOURCE OF CARE (5 LVLS),,,,,,,,,,,,,,,,,,,,,,,,,,,"USE CAUTION WHEN TRENDING WITH PRIOR YEARS. REMOVAL OF TRANSITION STATEMENT TO INCREASE DATA COMPLETENESS HAD AN UNINTENDED CONSEQUENCE OF A NOTABLE DECREASE IN ""YES"" RESPONSES TO TF1V2 (SEE CHIS 2022 EXPERIMENT).;",
TI17,DR/CLINIC COORDINATE CARE WITH OTHERS,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,RECLAIMED FROM CHIS 2014,
RN_FORGO,REASONS FORGONE NECESSARY CARE,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TI21,COST/NO INSUR DELAYED GETTING PRESCRIPTION,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TF22,COST/LACK OF INS REASON MEDICAL CARE DELAYED OR NOT RECVD,,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,,
TH58,MAIN REASON DELAYED/NO CARE: COST OR NO INS,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH59,MAIN REASON FOR DELAYING NEEDED CARE,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MA7_21,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TH46,ABLE TO GET DR APPNT IN 2 DAYS IF NEEDED,,,N/A,N/A,N/A,N/A,,,,N/A,,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TH49,ATTEMPTED TO GET DR APPT IN 2 DAYS IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
AI117,TEEN SPOKE WITH DOCTOR PRIVATELY WITHOUT PARENT/ADULT,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI118,TEEN'S DOCTOR ONLY TREAT CHILDREN OR TEENS,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI119,DOCTOR RECOMMENDED TEEN TO SEE DOCTORS WHO TREAT ADULTS,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI120,DOCTOR CREATE PLAN FOR TEEN'S FUTURE,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI121,DOCTOR WORK WITH TEEN TO MAKE POSITIVE CHOICES,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI122,DOCTOR HELP TEEN TO MANAGE HEALTH CARE,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
AI123,DOCTOR HELP TEEN UNDERSTAND CHANGES IN CARE AT 18,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MA7_20,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MA7_19,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
INS6TP_M,TYPE OF CURRENT HEALTH COVERAGE: 0-64 YEARS (HEALTH PROFILES),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,,
TF1,HAS USUAL SOURCE OF HEALTH CARE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
MA7_18,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CATEGORY CHANGE,
ELIGPP03,ELIG PRGM (2003) INCLUDING LOCAL CHILD COVERAGE EXPANSIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
ELIGPP04,ELIG PRGM (2004) INCLUDING LOCAL CHILD COVERAGE EXPANSIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
ELIGPP05,ELIG PRGM (2005) INCLUDING LOCAL CHILD COVERAGE EXPANSIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
ELIGPP07,ELIG PRGM (2007) INCLUDING LOCAL CHILD COVERAGE EXPANSIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
ELIGSP,ELIG PRGM INCL STATE POSSIBLE CHILD COVERAGE EXPANSIONS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
MA7_17,NAME OF HEALTH PLAN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CATEGORY CHANGE,
ELIGPRG3,MEDI-CAL (MEDICAID)/HEALTHY FAM ELIG. - UNINSURED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
ELIGPRG4,MEDI-CAL (MEDICAID)/HEALTHY FAM ELIG. - UNINSURED,,ELIGPP03; ELIGPP04; ELIGPP05; ELIGSP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
TF8H,TALK WITH DOCTOR ABOUT PHYSICAL ACTIVITY AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,
TF8I,TALK WITH DOCTOR ABOUT NUTRITION AT LAST PHYSICAL EXAM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,
TH44,HOW OFTEN DR LISTENS CAREFULLY TO CONCERNS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TH45,HOW OFTEN DR EXPLAINS INSTRUCTIONS CAREFULLY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TI15,PHONE/E-MAIL DR W/QUESTION IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,,
TI16,HOW OFTEN GET ANSWER AS SOON AS NEEDED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,,
TI19B,PRESCRIPTION WAS FOR ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not trendable with CHIS 2011 TI19,
TI20B,MEDICAL CARE WAS FOR ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not trendable with CHIS 2011 TI20,
